phase,command,displayName,description,agent
setup,/gaia-test-strategy,Test Strategy,Unified test-strategy + test-framework setup (collapses former test-design and test-framework),test-architect
1-analysis,/gaia-advanced-elicitation,Advanced Elicitation,Deep requirements elicitation,orchestrator
1-analysis,/gaia-brainstorm,Brainstorm Project,Brainstorm a new project idea,analyst
1-analysis,/gaia-domain-research,Domain Research,Research a domain or industry,analyst
1-analysis,/gaia-market-research,Market Research,Conduct market research,analyst
1-analysis,/gaia-product-brief,Create Product Brief,Create a product brief,analyst
1-analysis,/gaia-tech-research,Technical Research,Research a technology,analyst
2-planning,/gaia-create-prd,Create PRD,Create a Product Requirements Document,pm
2-planning,/gaia-create-ux,Create UX Design,Plan UX patterns and design specs,ux-designer
2-planning,/gaia-edit-prd,Edit PRD,Edit an existing PRD,pm
2-planning,/gaia-edit-ux,Edit UX Design,Edit an existing UX design,ux-designer
2-planning,/gaia-validate-design-a11y,Design A11y Validation,Planning-phase a11y design review — WCAG design contrast / semantic / keyboard / ARIA,ux-designer
2-planning,/gaia-validate-prd,Validate PRD (deprecated),DEPRECATED — Use /gaia-val-validate instead,pm
3-solutioning,/gaia-create-arch,Create Architecture,Design system architecture,architect
3-solutioning,/gaia-create-epics,Create Epics and Stories,Break requirements into epics and stories,pm
3-solutioning,/gaia-edit-arch,Edit Architecture,Edit an existing architecture document,architect
3-solutioning,/gaia-infra-design,Infrastructure Design,Design deployment topology and IaC,devops
3-solutioning,/gaia-readiness-check,Implementation Readiness,Validate readiness for implementation,architect
3-solutioning,/gaia-threat-model,Security Threat Model,Create STRIDE/DREAD threat model,security
4-implementation,/gaia-action-items,Action Items,"Process and resolve action items from retro, triage, tech-debt, and correct-course",orchestrator
4-implementation,/gaia-add-feature,Add Feature,"Triage and route a fix, enhancement, or feature through affected artifacts",pm
4-implementation,/gaia-add-stories,Add Stories,Add new stories to existing epics or create new epics with stories,pm
4-implementation,/gaia-change-request,Change Request (deprecated),DEPRECATED — Use /gaia-add-feature instead. Redirects to add-feature workflow.,pm
4-implementation,/gaia-check-dod,Check Definition of Done,Check Definition of Done criteria for a story before review transition,sm
4-implementation,/gaia-check-review-gate,Check Review Gate,Check composite review gate status and transition story to done if all reviews pass,sm
4-implementation,/gaia-config-compliance,Config Compliance,Edit the compliance section of project-config.yaml — section-scoped editor that preserves YAML comments and formatting,orchestrator
4-implementation,/gaia-config-env,Config Env,Edit the environments section of project-config.yaml — section-scoped editor that preserves YAML comments and formatting,orchestrator
4-implementation,/gaia-config-gates,Config Gates,Edit the gates section of project-config.yaml — per-gate severity overrides,orchestrator
4-implementation,/gaia-config-rubric,Config Rubric,DEPRECATED — retired because schema v2.0.0 has no `rubrics` top-level property; use /gaia-config-severity and /gaia-config-gates instead,orchestrator
4-implementation,/gaia-config-severity,Config Severity,Edit the severity section of project-config.yaml — 5-into-3 severity map (Critical/High/Medium/Low/Info → BLOCKED/REQUEST_CHANGES/APPROVE),orchestrator
4-implementation,/gaia-config-show,Config Show,Display project-config.yaml read-only (entire file or single section) — no write operations,orchestrator
4-implementation,/gaia-config-stack,Config Stack,Edit the stacks section of project-config.yaml — section-scoped editor that preserves YAML comments and formatting,orchestrator
4-implementation,/gaia-config-test,Config Test,Edit the test_execution section of project-config.yaml — section-scoped editor that preserves YAML comments and formatting,orchestrator
4-implementation,/gaia-config-tool,Config Tool,Edit the tools section of project-config.yaml — section-scoped editor that preserves YAML comments and formatting,orchestrator
4-implementation,/gaia-config-validate,Config Validate,Validate project-config.yaml against project-config.schema.json — pass --rubric for legacy layered-loader validation,validator
4-implementation,/gaia-correct-course,Correct Course,Manage sprint scope changes,sm
4-implementation,/gaia-create-stakeholder,Create Stakeholder,Scaffold new stakeholder file for Party Mode,orchestrator
4-implementation,/gaia-create-story,Create Story,Create detailed story file,sm
4-implementation,/gaia-dev-story,Dev Story,Implement a user story,dev-*
4-implementation,/gaia-epic-status,Epic Status,Show epic completion dashboard across all sprints,sm
4-implementation,/gaia-feed,Feed,"One-gesture external-document ingestion into the Brain knowledge layer — fetch, strip, write provenance frontmatter, register brain-index entry",orchestrator
4-implementation,/gaia-fill-test-gaps,Fill Test Gaps,End-to-end remediation for test-gap-analysis findings (sub-workflow composition),test-architect
